model,member,coa_per_century,standalone_coa_per_century,nonstandalone_coa_per_century,alpha,en12_std,en34_std,en12_pr_std
ACCESS-CM2,r1i1p1f1,1.21,1.21,0.0,-0.11428585145112916,0.636005699634552,0.7157012820243835,1.5544258459716525
ACCESS-CM2,r3i1p1f1,0.61,0.61,0.0,-0.12522338423381243,0.6437113285064697,0.8136393427848816,1.641798132386377
ACCESS-CM2,r2i1p1f1,1.21,1.21,0.0,-0.13116307407430175,0.6686096787452698,0.7576300501823425,1.6092352603055229
ACCESS-ESM1-5,r1i1p1f1,2.42,1.82,0.61,0.17073580206824152,0.8274043798446655,0.7148445248603821,1.637058078149569
ACCESS-ESM1-5,r3i1p1f1,1.82,1.21,0.61,0.12095415763950519,0.7843323945999146,0.6605398654937744,1.6051481062121349
ACCESS-ESM1-5,r2i1p1f1,3.64,2.42,1.21,0.08734976827352932,0.9052779078483582,0.7238268852233887,1.6431713776069172
BCC-ESM1,r1i1p1f1,0.61,0.61,0.0,-0.264643212993115,0.5298973321914673,0.7790583372116089,1.2843608523018337
BCC-ESM1,r3i1p1f1,1.82,1.82,0.0,-0.037527677976917605,0.4943064749240875,0.7044060230255127,1.1889557319156074
BCC-ESM1,r2i1p1f1,0.61,0.61,0.0,-0.046751585809516216,0.5155478119850159,0.7148818969726562,1.210139506149085
CAMS-CSM1-0,r1i1p1f1,0.61,0.61,0.0,-0.220813174523571,0.7848780751228333,1.0731208324432373,1.2572715901576792
CAMS-CSM1-0,r2i1p1f1,0.0,0.0,0.0,-0.17965790756412595,0.7555490136146545,1.0451295375823975,1.2783873307584144
CESM2,r1i1p1f1,0.61,0.61,0.0,-0.25412452078237724,0.8734077215194702,1.100058674812317,0.6796782884341787
CESM2,r3i1p1f1,0.61,0.0,0.61,-0.27266753329610227,0.9552064538002014,1.122913122177124,0.7431608914111438
CESM2,r2i1p1f1,0.0,0.0,0.0,-0.30855844897839,0.9946363568305969,1.1610380411148071,0.8261095669255217
CESM2-FV2,r1i1p1f1,0.0,0.0,0.0,-0.4591056226369208,1.04806387424469,1.3927026987075806,1.2396493754890114
