model,coa_event,coa_q25,coa_q75,coa_event_future,coa_q25_future,coa_q75_future
CESM2-WACCM-FV2,0.0,0.0,0.8453014397072504,,,
GISS-E2-1-G,0.0,0.0,0.8453014397072504,0.0,0.0,1.6119701873487098
GISS-E2-1-G-CC,0.0,0.0,0.8453014397072504,,,
CESM2-FV2,0.20333333333333334,0.05847196594548392,1.1108177339694059,,,
FGOALS-f3-L,0.20333333333333334,0.05847196594548392,1.1108177339694059,,,
CAMS-CSM1-0,0.305,0.08770794891822588,1.2435758811004836,1.18,0.33844949700209515,3.167805328105524
E3SM-1-0,0.305,0.08770794891822588,1.2435758811004836,0.0,0.0,1.6309345424939887
CESM2,0.61,0.25385382836718656,1.6258802744516558,,,
FGOALS-g3,0.7999999999999999,0.3837440172114879,1.841736223893216,1.9366666666666665,1.3056590643322952,3.9516630068836704
CMCC-CM2-HR4,1.22,0.586145587265108,2.3904890611540006,,,
E3SM-1-1-ECA,1.22,0.586145587265108,2.3904890611540006,1.16,0.33451403773462896,3.1309703824298785
GFDL-ESM4,1.22,0.586145587265108,2.3904890611540006,0.0,0.0,1.6119701873487098
EC-Earth3-ESM-1,1.22,0.586145587265108,2.3904890611540006,,,
GISS-E2-1-H,1.22,0.6049309458185116,2.3826146492491134,0.0,0.0,1.6119701873487098
BCC-ESM1,1.22,0.6049309458185116,2.3826146492491134,,,
CNRM-CM6-1,1.4233333333333331,0.7418408422947304,2.632160895469208,1.55,0.5955980263636972,3.606849270570524
MIROC-ES2L,1.4233333333333331,0.7418408422947304,2.632160895469208,0.0,0.0,1.6119701873487096
ACCESS-CM2,1.4233333333333331,0.7418408422947304,2.632160895469208,3.49,2.00848769518665,5.941194750143466
CanESM5,1.6266666666666667,0.9385287035658291,2.852792362744379,2.3266666666666667,1.153589245514371,4.5435907264750535
UKESM1-0-LL,1.6266666666666667,0.8975360973243527,2.8738327297844157,0.38666666666666666,0.11150467924487632,2.1183035857090995
E3SM-1-1,1.83,1.0532313523539751,3.1155045640996226,0.0,0.0,1.6119701873487098
CanESM5-1,1.83,1.0617679660315833,3.1106220007846814,1.9400000000000002,0.8566820149927654,4.08272815871117
EC-Earth3-Veg-LR,1.83,1.0942239585954514,3.0944641970595863,0.0,0.0,1.6119701873487096
CNRM-CM6-1-HR,1.83,1.0532313523539751,3.1155045640996226,4.65,2.948046758023364,7.295849649354288
TaiESM1,1.83,1.0532313523539751,3.1155045640996226,,,
HadGEM3-GC31-MM,2.033333333333333,1.258455827302682,3.331253468059852,,,
GISS-E2-2-G,2.033333333333333,1.2259998347388137,3.347411271784947,2.33,1.1177660036218338,4.558607046851815
EC-Earth3-AerChem,2.033333333333333,1.258455827302682,3.331253468059852,,,
CNRM-ESM2-1,2.033333333333333,1.2311338550716702,3.344010443279681,1.1633333333333333,0.66949589839555,3.0550450416136283
EC-Earth3,2.236666666666667,1.3953657237789008,3.5807997142799466,0.0,0.0,1.6119701873487098
EC-Earth3-Veg,2.236666666666667,1.4040218626104053,3.5748569803691006,0.0,0.0,1.6119701873487098
NorCPM1,2.236666666666667,1.4040218626104053,3.5748569803691006,,,
CanESM5-CanOE,2.44,1.551060978808523,3.8224715485951535,2.716666666666667,1.4146732341434394,5.019469614615699
E3SM-2-1,2.44,1.551060978808523,3.8224715485951535,,,
E3SM-2-0-NARRM,2.8466666666666662,1.8846587365558405,4.292649262090419,,,
ACCESS-ESM1-5,2.8466666666666662,1.9131170836952496,4.273889025631078,1.1633333333333333,0.4840933471188209,3.1005158722101345
HadGEM3-GC31-LL,3.0499999999999994,2.068812338724872,4.5155608599462855,1.9400000000000002,1.0420845662694946,4.037257328114664
GISS-E3-G,3.05,2.0540246255959276,4.526037704585419,,,
CESM2-WACCM,3.2533333333333334,2.2269126331346625,4.756884241674839,0.0,0.0,1.6119701873487098
INM-CM5-0,3.66,2.5752981040109244,5.216585110530971,1.16,0.33451403773462896,3.1309703824298785
MRI-ESM2-0,3.8633333333333333,2.7481861115496593,5.447431647620391,1.5533333333333335,0.7451773357478891,3.57639476035078
E3SM-2-0,4.066666666666666,2.9320030374480415,5.669718425820233,,,
GFDL-CM4,4.27,3.0991810382247134,5.905140311153815,3.49,2.00848769518665,5.941194750143466
INM-CM4-8,4.27,3.0991810382247134,5.905140311153815,6.98,4.906057422171973,9.951705579069806
ERSSTv5,4.32,3.1374425325237842,5.978043277958183,,,
MPI-ESM1-2-HR,4.473333333333333,3.2880374102011616,6.123326109734726,1.16,0.33451403773462896,3.1309703824298785
HadISST,4.65,2.948046758023364,7.295849649354288,,,
MPI-ESM1-2-LR,6.1000000000000005,4.715573756706024,7.934829293954166,5.426666666666667,3.6007169794062333,8.181134959259461
NorESM2-MM,6.506666666666667,5.083450092185945,8.37844485193436,5.81,3.9169771929968853,8.631048645953591
NorESM2-LM,7.523333333333333,5.992544078603409,9.496627295067475,0.0,0.0,1.6119701873487098
SAM0-UNICON,7.93,6.354704604596165,9.945272591166322,,,
CMCC-CM2-SR5,7.93,6.355471473907007,9.944593703941289,6.98,4.906057422171973,9.951705579069806
MIROC6,8.946666666666667,7.290990389310868,11.039420196555293,1.9400000000000002,0.8566820149927654,4.08272815871117
IPSL-CM6A-LR,9.149999999999999,7.464470632282545,11.270640302001043,6.203333333333333,4.253387200789103,9.066420269164633
MIROC-ES2H,9.15,7.468282441136176,11.267220988181334,0.0,0.0,1.6119701873487096
MPI-ESM-1-2-HAM,9.353333333333333,7.653395517302857,11.487987448722828,,,
CMCC-ESM2,12.2,10.262285037495262,14.562881283399326,6.98,4.906057422171973,9.951705579069806
