model,coa_event_future,coa_q25_future,coa_q75_future
CESM2-WACCM-FV2,,,
GISS-E2-1-G,1.5533333333333335,0.7451773357478891,3.57639476035078
GISS-E2-1-G-CC,,,
CESM2-FV2,,,
FGOALS-f3-L,,,
CAMS-CSM1-0,1.18,0.33844949700209515,3.167805328105524
E3SM-1-0,0.0,0.0,1.6309345424939885
CESM2,5.04,3.325292975854031,7.705140646910661
FGOALS-g3,1.9366666666666665,1.3056590643322952,3.9516630068836704
CMCC-CM2-HR4,,,
E3SM-1-1-ECA,1.16,0.33451403773462896,3.1309703824298785
GFDL-ESM4,0.0,0.0,1.6119701873487098
EC-Earth3-ESM-1,,,
GISS-E2-1-H,0.0,0.0,1.6119701873487096
BCC-ESM1,,,
CNRM-CM6-1,1.55,0.5955980263636972,3.606849270570524
MIROC-ES2L,0.0,0.0,1.6119701873487096
ACCESS-CM2,3.49,2.00848769518665,5.941194750143466
CanESM5,2.3266666666666667,1.153589245514371,4.5435907264750535
UKESM1-0-LL,0.38666666666666666,0.11150467924487632,2.1183035857090995
E3SM-1-1,0.0,0.0,1.6119701873487098
CanESM5-1,1.9400000000000002,0.8566820149927654,4.08272815871117
EC-Earth3-Veg-LR,0.0,0.0,1.6119701873487096
CNRM-CM6-1-HR,4.65,2.948046758023364,7.295849649354288
TaiESM1,,,
HadGEM3-GC31-MM,,,
GISS-E2-2-G,1.9400000000000002,0.8566820149927654,4.08272815871117
EC-Earth3-AerChem,,,
CNRM-ESM2-1,1.1633333333333333,0.66949589839555,3.0550450416136283
EC-Earth3,0.0,0.0,1.6119701873487096
EC-Earth3-Veg,0.0,0.0,1.6119701873487098
NorCPM1,,,
CanESM5-CanOE,2.716666666666667,1.4146732341434394,5.019469614615699
E3SM-2-1,,,
E3SM-2-0-NARRM,,,
ACCESS-ESM1-5,1.1633333333333333,0.4840933471188209,3.1005158722101345
HadGEM3-GC31-LL,1.9400000000000002,1.0420845662694946,4.037257328114664
GISS-E3-G,,,
CESM2-WACCM,0.0,0.0,1.6119701873487098
INM-CM5-0,1.16,0.33451403773462896,3.1309703824298785
MRI-ESM2-0,1.5533333333333335,0.7451773357478891,3.57639476035078
E3SM-2-0,,,
GFDL-CM4,3.49,2.00848769518665,5.941194750143466
INM-CM4-8,6.98,4.906057422171973,9.951705579069806
ERSSTv5,,,
MPI-ESM1-2-HR,1.16,0.33451403773462896,3.1309703824298785
HadISST,,,
MPI-ESM1-2-LR,5.426666666666667,3.6007169794062333,8.181134959259461
NorESM2-MM,5.81,3.9169771929968853,8.631048645953591
NorESM2-LM,0.0,0.0,1.6119701873487098
SAM0-UNICON,,,
CMCC-CM2-SR5,6.98,4.906057422171973,9.951705579069806
MIROC6,1.9400000000000002,0.8566820149927654,4.08272815871117
IPSL-CM6A-LR,6.203333333333333,4.253387200789103,9.066420269164633
MIROC-ES2H,0.0,0.0,1.6119701873487096
MPI-ESM-1-2-HAM,,,
CMCC-ESM2,6.98,4.906057422171973,9.951705579069806
